;RechercheLocale(CycleDeKAndChaineV2);;
;Benefices;tps(ms);valide ?
KEP_p100_n0_k3_l0;671;16;true
KEP_p100_n11_k3_l13;1 371;15;true
KEP_p100_n11_k3_l4;1 371;9;true
KEP_p100_n11_k3_l7;1 371;8;true
KEP_p100_n11_k5_l17;1 497;13;true
KEP_p100_n33_k3_l13;2 483;12;true
KEP_p100_n33_k3_l4;2 483;11;true
KEP_p100_n33_k3_l7;2 483;11;true
KEP_p100_n33_k5_l17;2 489;28;true
KEP_p100_n5_k3_l13;1 021;4;true
KEP_p100_n5_k3_l4;1 021;3;true
KEP_p100_n5_k3_l7;1 021;4;true
KEP_p100_n5_k5_l17;1 022;4;true
KEP_p18_n0_k4_l0;49;0;true
KEP_p18_n2_k4_l4;71;0;true
KEP_p250_n0_k3_l0;2 451;24;true
KEP_p250_n13_k3_l13;5 420;236;true
KEP_p250_n13_k3_l4;4 208;30;true
KEP_p250_n13_k3_l7;4 820;56;true
KEP_p250_n13_k5_l17;5 746;124;true
KEP_p250_n28_k3_l13;6 725;140;true
KEP_p250_n28_k3_l4;6 190;86;true
KEP_p250_n28_k3_l7;6 817;155;true
KEP_p250_n28_k5_l17;7 322;265;true
KEP_p250_n83_k3_l13;9 868;163;true
KEP_p250_n83_k3_l4;9 476;123;true
KEP_p250_n83_k3_l7;9 868;146;true
KEP_p250_n83_k5_l17;10 494;268;true
KEP_p50_n0_k3_l0;58;0;true
KEP_p50_n17_k3_l13;1 352;0;true
KEP_p50_n17_k3_l4;1 205;0;true
KEP_p50_n17_k3_l7;1 352;0;true
KEP_p50_n17_k5_l17;1 352;1;true
KEP_p50_n3_k3_l13;240;0;true
KEP_p50_n3_k3_l4;240;0;true
KEP_p50_n3_k3_l7;240;0;true
KEP_p50_n3_k5_l17;376;0;true
KEP_p50_n6_k3_l13;516;0;true
KEP_p50_n6_k3_l4;516;0;true
KEP_p50_n6_k3_l7;516;0;true
KEP_p50_n6_k5_l17;542;1;true
KEP_p9_n0_k3_l0;40;0;true
KEP_p9_n1_k3_l3;44;0;true
testInstance;11;0;true

SOMME;118 429;1 956;true
